"id" "sexo" "edad" "monitor" "v01" "v02" "v03" "v04" "v05" "v06" "v07" "v08" "v09" "v10"
"1" 1 "Hombre" 81 14 NA 1 2 3 3 3 5 5 4 4
"2" 2 "Hombre" 80 1 2 2 1 4 4 4 5 2 4 1
"3" 3 "Mujer" 75 18 4 2 5 4 2 2 3 4 2 1
"4" 4 "Hombre" 77 5 5 5 1 1 4 1 3 5 2 4
"5" 5 "Mujer" 74 3 NA 5 5 1 4 1 5 4 1 3
"6" 6 "Mujer" 61 12 3 4 2 4 3 3 3 3 2 2
"7" 7 "Hombre" 75 7 NA 5 1 3 5 1 2 1 2 5
"8" 8 "Mujer" 78 18 4 1 3 4 3 1 4 2 5 1
"9" 9 "Mujer" 68 3 5 4 1 3 2 5 5 1 2 4
"10" 10 "Hombre" 85 5 2 4 4 2 5 5 2 5 4 4
"11" 11 "Hombre" 72 17 NA 3 5 3 4 1 2 5 2 2
"12" 12 "Hombre" 80 14 1 2 3 3 1 1 1 1 3 2
"13" 13 "Mujer" 82 14 1 3 2 1 3 3 2 4 2 4
"14" 14 "Mujer" 78 20 3 1 2 1 1 5 2 5 3 4
"15" 15 "Hombre" 60 9 2 2 2 2 2 2 1 5 4 4
"16" 16 "Hombre" 80 15 5 2 4 2 2 1 4 1 2 2
"17" 17 "Mujer" 62 19 NA 5 3 3 3 2 1 4 5 4
"18" 18 "Hombre" 66 6 3 4 2 3 3 3 3 5 2 1
"19" 19 "Mujer" 65 11 4 3 5 2 1 2 4 5 2 4
"20" 20 "Mujer" 69 2 3 4 2 4 4 1 1 2 5 5
"21" 21 "Mujer" 66 14 5 4 1 2 1 4 5 3 4 1
"22" 22 "Hombre" 85 20 3 5 4 5 3 5 4 5 2 3
"23" 23 "Hombre" 77 19 3 2 4 2 1 4 3 2 2 2
"24" 24 "Mujer" 69 7 NA 5 4 3 3 3 2 1 5 1
"25" 25 "Mujer" 63 9 NA 3 5 3 1 5 5 2 2 3
"26" 26 "Mujer" 63 3 5 4 4 3 4 1 4 1 4 5
"27" 27 "Hombre" 64 15 1 2 5 4 1 3 3 3 3 3
"28" 28 "Hombre" 71 2 3 5 3 1 3 2 4 1 3 1
"29" 29 "Hombre" 68 20 5 4 2 4 4 1 5 3 5 5
"30" 30 "Mujer" 62 12 5 1 4 5 2 3 5 2 1 1
"31" 31 "Hombre" 70 12 4 1 5 4 3 1 2 2 2 5
"32" 32 "Mujer" 67 19 5 1 2 1 4 2 5 4 3 5
"33" 33 "Hombre" 81 9 5 5 2 1 1 5 1 3 5 5
"34" 34 "Mujer" 78 6 1 2 2 3 5 5 3 4 2 1
"35" 35 "Mujer" 77 9 5 5 2 4 1 1 2 3 1 4
"36" 36 "Mujer" 74 8 4 1 2 5 5 2 5 4 3 1
"37" 37 "Mujer" 70 11 NA 2 2 4 2 1 2 1 1 2
"38" 38 "Mujer" 62 1 NA 1 3 1 1 2 1 2 1 1
"39" 39 "Mujer" 60 19 2 1 5 3 5 5 2 2 4 1
"40" 40 "Hombre" 72 1 NA 3 2 4 3 4 5 3 5 2
"41" 41 "Hombre" 61 13 2 2 2 4 5 2 5 1 4 2
"42" 42 "Mujer" 60 9 1 5 1 4 2 3 4 4 2 3
"43" 43 "Hombre" 82 11 NA 3 1 4 4 3 1 3 4 3
"44" 44 "Hombre" 84 10 3 1 2 5 1 2 4 3 3 5
"45" 45 "Hombre" 73 5 5 2 1 1 3 4 4 3 2 1
"46" 46 "Mujer" 77 3 5 5 5 5 5 5 5 5 1 4
"47" 47 "Hombre" 79 3 5 2 5 2 5 1 4 5 4 4
"48" 48 "Hombre" 80 4 2 4 1 3 1 1 4 4 1 2
"49" 49 "Mujer" 67 3 1 1 2 3 3 4 1 4 2 5
"50" 50 "Mujer" 80 2 4 1 5 5 1 1 5 4 2 1
"51" 51 "Mujer" 83 12 4 5 1 1 5 2 5 2 1 4
"52" 52 "Mujer" 66 11 NA 3 1 1 5 4 3 4 3 2
"53" 53 "Mujer" 61 2 1 2 4 1 4 5 1 4 1 4
"54" 54 "Mujer" 66 15 NA 2 1 5 1 3 4 2 5 4
"55" 55 "Hombre" 80 12 1 1 3 5 2 2 1 3 2 4
"56" 56 "Mujer" 84 19 5 1 4 5 1 5 2 5 1 1
"57" 57 "Hombre" 83 15 3 3 1 2 4 4 3 3 3 1
"58" 58 "Hombre" 71 6 3 2 5 2 3 4 3 1 1 4
"59" 59 "Mujer" 79 17 4 4 3 5 1 3 1 5 1 3
"60" 60 "Mujer" 82 8 3 4 4 1 2 4 3 2 5 2
"61" 61 "Mujer" 78 1 NA 5 1 2 2 5 5 5 1 1
